STARTING!
Log parameter values verbosely: [0]
Num threads: [4]
Graph: [inception_v4.tflite]
Enable op profiling: [1]
#threads used for CPU inference: [4]
Loaded model inception_v4.tflite
INFO: Initialized TensorFlow Lite runtime.
The input model file size (MB): 170.674
Initialized session in 2.276ms.
Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
count=1 curr=534738

Running benchmark for at least 50 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
count=50 first=512162 curr=537893 min=512162 max=539047 avg=522356 std=6285

Inference timings in us: Init: 2276, First inference: 534738, Warmup (avg): 534738, Inference (avg): 522356
Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
Peak memory footprint (MB): init=12.0156 overall=217.203
Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	         AllocateTensors	            0.000	    0.401	    0.401	100.000%	100.000%	   308.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	         AllocateTensors	            0.000	    0.401	    0.401	100.000%	100.000%	   308.000	        1	AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
	             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	         AllocateTensors	        1	     0.401	   100.000%	   100.000%	   308.000	        1

Timings (microseconds): count=1 curr=401
Memory (bytes): count=0
1 nodes observed



Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 CONV_2D	            0.011	    2.123	    2.126	  0.407%	  0.407%	     0.000	        1	[InceptionV4/InceptionV4/Conv2d_1a_3x3/Relu]:0
	                 CONV_2D	            2.138	   13.391	   13.485	  2.583%	  2.990%	     0.000	        1	[InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu]:1
	                 CONV_2D	           15.625	   19.078	   19.164	  3.670%	  6.660%	     0.000	        1	[InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu]:2
	             MAX_POOL_2D	           34.790	    2.716	    2.738	  0.524%	  7.185%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_3a/Branch_0/MaxPool_0a_3x3/MaxPool]:3
	                 CONV_2D	           37.529	   11.766	   11.877	  2.275%	  9.459%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu]:4
	           CONCATENATION	           49.408	    0.426	    0.437	  0.084%	  9.543%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_3a/concat]:5
	                 CONV_2D	           49.846	    2.026	    2.117	  0.405%	  9.949%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_0a_1x1/Relu]:6
	                 CONV_2D	           51.964	   11.024	   11.195	  2.144%	 12.093%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_1a_3x3/Relu]:7
	                 CONV_2D	           63.161	    2.067	    2.203	  0.422%	 12.515%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0a_1x1/Relu]:8
	                 CONV_2D	           65.365	    7.201	    7.358	  1.409%	 13.924%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0b_1x7/Relu]:9
	                 CONV_2D	           72.724	    7.381	    7.367	  1.411%	 15.335%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0c_7x1/Relu]:10
	                 CONV_2D	           80.093	   10.779	   11.101	  2.126%	 17.461%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_1a_3x3/Relu]:11
	           CONCATENATION	           91.195	    0.467	    0.471	  0.090%	 17.551%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/concat]:12
	                 CONV_2D	           91.668	   14.808	   15.300	  2.930%	 20.482%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5a/Branch_0/Conv2d_1a_3x3/Relu]:13
	             MAX_POOL_2D	          106.969	    1.811	    1.866	  0.357%	 20.839%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5a/Branch_1/MaxPool_1a_3x3/MaxPool]:14
	           CONCATENATION	          108.836	    0.219	    0.225	  0.043%	 20.882%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5a/concat]:15
	                 CONV_2D	          109.062	    1.817	    1.830	  0.350%	 21.233%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5b/Branch_0/Conv2d_0a_1x1/Relu]:16
	                 CONV_2D	          110.893	    1.191	    1.233	  0.236%	 21.469%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5b/Branch_1/Conv2d_0a_1x1/Relu]:17
	                 CONV_2D	          112.127	    2.758	    2.829	  0.542%	 22.011%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5b/Branch_1/Conv2d_0b_3x3/Relu]:18
	                 CONV_2D	          114.957	    1.247	    1.274	  0.244%	 22.255%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5b/Branch_2/Conv2d_0a_1x1/Relu]:19
	                 CONV_2D	          116.231	    2.720	    2.787	  0.534%	 22.788%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5b/Branch_2/Conv2d_0b_3x3/Relu]:20
	                 CONV_2D	          119.020	    3.966	    4.009	  0.768%	 23.556%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5b/Branch_2/Conv2d_0c_3x3/Relu]:21
	         AVERAGE_POOL_2D	          123.030	    3.633	    3.693	  0.707%	 24.264%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5b/Branch_3/AvgPool_0a_3x3/AvgPool]:22
	                 CONV_2D	          126.724	    1.579	    1.626	  0.311%	 24.575%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5b/Branch_3/Conv2d_0b_1x1/Relu]:23
	           CONCATENATION	          128.351	    0.215	    0.220	  0.042%	 24.617%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5b/concat]:24
	                 CONV_2D	          128.572	    1.656	    1.669	  0.320%	 24.937%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5c/Branch_0/Conv2d_0a_1x1/Relu]:25
	                 CONV_2D	          130.242	    1.169	    1.164	  0.223%	 25.160%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5c/Branch_1/Conv2d_0a_1x1/Relu]:26
	                 CONV_2D	          131.407	    2.645	    2.691	  0.515%	 25.675%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5c/Branch_1/Conv2d_0b_3x3/Relu]:27
	                 CONV_2D	          134.100	    1.208	    1.224	  0.234%	 25.910%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5c/Branch_2/Conv2d_0a_1x1/Relu]:28
	                 CONV_2D	          135.324	    2.636	    2.706	  0.518%	 26.428%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5c/Branch_2/Conv2d_0b_3x3/Relu]:29
	                 CONV_2D	          138.031	    3.935	    3.954	  0.757%	 27.185%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5c/Branch_2/Conv2d_0c_3x3/Relu]:30
	         AVERAGE_POOL_2D	          141.987	    3.613	    3.673	  0.704%	 27.889%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5c/Branch_3/AvgPool_0a_3x3/AvgPool]:31
	                 CONV_2D	          145.661	    1.645	    1.625	  0.311%	 28.200%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5c/Branch_3/Conv2d_0b_1x1/Relu]:32
	           CONCATENATION	          147.287	    0.218	    0.219	  0.042%	 28.242%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5c/concat]:33
	                 CONV_2D	          147.507	    1.698	    1.664	  0.319%	 28.561%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5d/Branch_0/Conv2d_0a_1x1/Relu]:34
	                 CONV_2D	          149.172	    1.154	    1.150	  0.220%	 28.781%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5d/Branch_1/Conv2d_0a_1x1/Relu]:35
	                 CONV_2D	          150.322	    2.777	    2.704	  0.518%	 29.299%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5d/Branch_1/Conv2d_0b_3x3/Relu]:36
	                 CONV_2D	          153.028	    1.222	    1.229	  0.235%	 29.534%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5d/Branch_2/Conv2d_0a_1x1/Relu]:37
	                 CONV_2D	          154.257	    2.691	    2.713	  0.520%	 30.054%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5d/Branch_2/Conv2d_0b_3x3/Relu]:38
	                 CONV_2D	          156.972	    3.935	    3.941	  0.755%	 30.809%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5d/Branch_2/Conv2d_0c_3x3/Relu]:39
	         AVERAGE_POOL_2D	          160.914	    3.618	    3.660	  0.701%	 31.510%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5d/Branch_3/AvgPool_0a_3x3/AvgPool]:40
	                 CONV_2D	          164.575	    1.645	    1.626	  0.311%	 31.821%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5d/Branch_3/Conv2d_0b_1x1/Relu]:41
	           CONCATENATION	          166.202	    0.214	    0.220	  0.042%	 31.863%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5d/concat]:42
	                 CONV_2D	          166.422	    1.640	    1.667	  0.319%	 32.182%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5e/Branch_0/Conv2d_0a_1x1/Relu]:43
	                 CONV_2D	          168.090	    1.121	    1.149	  0.220%	 32.403%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5e/Branch_1/Conv2d_0a_1x1/Relu]:44
	                 CONV_2D	          169.240	    2.696	    2.700	  0.517%	 32.920%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5e/Branch_1/Conv2d_0b_3x3/Relu]:45
	                 CONV_2D	          171.941	    1.235	    1.227	  0.235%	 33.155%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5e/Branch_2/Conv2d_0a_1x1/Relu]:46
	                 CONV_2D	          173.169	    2.732	    2.717	  0.520%	 33.675%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5e/Branch_2/Conv2d_0b_3x3/Relu]:47
	                 CONV_2D	          175.887	    3.902	    3.943	  0.755%	 34.430%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5e/Branch_2/Conv2d_0c_3x3/Relu]:48
	         AVERAGE_POOL_2D	          179.832	    3.658	    3.639	  0.697%	 35.127%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5e/Branch_3/AvgPool_0a_3x3/AvgPool]:49
	                 CONV_2D	          183.472	    1.584	    1.616	  0.310%	 35.437%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5e/Branch_3/Conv2d_0b_1x1/Relu]:50
	           CONCATENATION	          185.089	    0.220	    0.223	  0.043%	 35.479%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5e/concat]:51
	                 CONV_2D	          185.312	   13.837	   14.220	  2.724%	 38.203%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6a/Branch_0/Conv2d_1a_3x3/Relu]:52
	                 CONV_2D	          199.534	    3.256	    3.384	  0.648%	 38.851%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6a/Branch_1/Conv2d_0a_1x1/Relu]:53
	                 CONV_2D	          202.919	   16.803	   17.494	  3.351%	 42.202%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6a/Branch_1/Conv2d_0b_3x3/Relu]:54
	                 CONV_2D	          220.415	    5.552	    5.832	  1.117%	 43.319%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6a/Branch_1/Conv2d_1a_3x3/Relu]:55
	             MAX_POOL_2D	          226.249	    0.846	    0.863	  0.165%	 43.484%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6a/Branch_2/MaxPool_1a_3x3/MaxPool]:56
	           CONCATENATION	          227.113	    0.144	    0.148	  0.028%	 43.513%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6a/concat]:57
	                 CONV_2D	          227.262	    3.921	    4.055	  0.777%	 44.289%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_0/Conv2d_0a_1x1/Relu]:58
	                 CONV_2D	          231.318	    1.967	    2.045	  0.392%	 44.681%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_1/Conv2d_0a_1x1/Relu]:59
	                 CONV_2D	          233.363	    3.282	    3.280	  0.628%	 45.309%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_1/Conv2d_0b_1x7/Relu]:60
	                 CONV_2D	          236.644	    4.182	    4.323	  0.828%	 46.137%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_1/Conv2d_0c_7x1/Relu]:61
	                 CONV_2D	          240.968	    1.986	    2.047	  0.392%	 46.529%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0a_1x1/Relu]:62
	                 CONV_2D	          243.016	    2.849	    2.886	  0.553%	 47.082%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0b_7x1/Relu]:63
	                 CONV_2D	          245.903	    3.116	    3.223	  0.617%	 47.699%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0c_1x7/Relu]:64
	                 CONV_2D	          249.127	    3.712	    3.846	  0.737%	 48.435%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0d_7x1/Relu]:65
	                 CONV_2D	          252.974	    4.274	    4.296	  0.823%	 49.258%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0e_1x7/Relu]:66
	         AVERAGE_POOL_2D	          257.271	    2.407	    2.487	  0.476%	 49.735%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_3/AvgPool_0a_3x3/AvgPool]:67
	                 CONV_2D	          259.759	    1.348	    1.398	  0.268%	 50.002%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/Branch_3/Conv2d_0b_1x1/Relu]:68
	           CONCATENATION	          261.158	    0.154	    0.159	  0.030%	 50.033%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6b/concat]:69
	                 CONV_2D	          261.318	    3.707	    3.820	  0.732%	 50.764%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_0/Conv2d_0a_1x1/Relu]:70
	                 CONV_2D	          265.139	    1.942	    1.990	  0.381%	 51.145%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0a_1x1/Relu]:71
	                 CONV_2D	          267.129	    3.176	    3.253	  0.623%	 51.768%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0b_1x7/Relu]:72
	                 CONV_2D	          270.383	    4.336	    4.351	  0.833%	 52.602%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0c_7x1/Relu]:73
	                 CONV_2D	          274.736	    2.038	    2.059	  0.394%	 52.996%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0a_1x1/Relu]:74
	                 CONV_2D	          276.795	    2.744	    2.898	  0.555%	 53.551%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0b_7x1/Relu]:75
	                 CONV_2D	          279.694	    3.180	    3.270	  0.626%	 54.177%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0c_1x7/Relu]:76
	                 CONV_2D	          282.965	    3.793	    3.878	  0.743%	 54.920%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0d_7x1/Relu]:77
	                 CONV_2D	          286.844	    4.165	    4.300	  0.824%	 55.744%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0e_1x7/Relu]:78
	         AVERAGE_POOL_2D	          291.146	    2.534	    2.504	  0.479%	 56.223%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_3/AvgPool_0a_3x3/AvgPool]:79
	                 CONV_2D	          293.650	    1.371	    1.387	  0.266%	 56.489%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/Branch_3/Conv2d_0b_1x1/Relu]:80
	           CONCATENATION	          295.038	    0.156	    0.160	  0.031%	 56.519%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6c/concat]:81
	                 CONV_2D	          295.199	    3.757	    3.821	  0.732%	 57.251%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_0/Conv2d_0a_1x1/Relu]:82
	                 CONV_2D	          299.021	    1.901	    1.972	  0.378%	 57.629%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0a_1x1/Relu]:83
	                 CONV_2D	          300.995	    3.198	    3.256	  0.624%	 58.253%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0b_1x7/Relu]:84
	                 CONV_2D	          304.252	    4.355	    4.347	  0.833%	 59.085%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0c_7x1/Relu]:85
	                 CONV_2D	          308.600	    1.960	    2.067	  0.396%	 59.481%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0a_1x1/Relu]:86
	                 CONV_2D	          310.668	    2.734	    2.907	  0.557%	 60.038%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0b_7x1/Relu]:87
	                 CONV_2D	          313.576	    3.222	    3.245	  0.622%	 60.659%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0c_1x7/Relu]:88
	                 CONV_2D	          316.822	    3.876	    3.848	  0.737%	 61.396%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0d_7x1/Relu]:89
	                 CONV_2D	          320.671	    4.203	    4.345	  0.832%	 62.229%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0e_1x7/Relu]:90
	         AVERAGE_POOL_2D	          325.018	    2.363	    2.491	  0.477%	 62.706%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_3/AvgPool_0a_3x3/AvgPool]:91
	                 CONV_2D	          327.510	    1.322	    1.400	  0.268%	 62.974%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/Branch_3/Conv2d_0b_1x1/Relu]:92
	           CONCATENATION	          328.910	    0.154	    0.160	  0.031%	 63.005%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6d/concat]:93
	                 CONV_2D	          329.071	    3.679	    3.822	  0.732%	 63.737%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6e/Branch_0/Conv2d_0a_1x1/Relu]:94
	                 CONV_2D	          332.895	    1.977	    1.983	  0.380%	 64.116%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6e/Branch_1/Conv2d_0a_1x1/Relu]:95
	                 CONV_2D	          334.879	    3.182	    3.262	  0.625%	 64.741%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6e/Branch_1/Conv2d_0b_1x7/Relu]:96
	                 CONV_2D	          338.142	    4.369	    4.357	  0.834%	 65.576%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6e/Branch_1/Conv2d_0c_7x1/Relu]:97
